"engine","noise","mean_word_error","preprocess_tokens","postprocess_terms","postprocess_tokens","rf_accuracy","svm_accuracy","nb_accuracy","ner_retrieval","ner_f1"
"tesseract","col + blur + ink",57.4917701863354,41259,2525,12788,0.734848484848485,0.147537335450379,0.100428630865702,0.170017141966651,0.24677674734223
"tesseract","col + weak + snp",73.3255900621118,383555,5935,52318,0.591774891774892,0.236818328209633,0.207245554597957,0.166744584696899,0.057104736490994
"tesseract","col + weak + wm",30.9915527950311,71776,3821,24128,0.871645021645022,0.199581302755216,0.132215192130524,0.505532180146486,0.493009118541033
"tesseract","col + weak + scrib",34.8204347826087,69838,3811,23159,0.866883116883117,0.185252790687573,0.18750601800945,0.465638148667602,0.455696202531646
"tesseract","col + weak + ink",23.2227329192547,75137,4130,25873,0.945454545454545,0.590525677221329,0.157008717445788,0.461898083216456,0.446217538577343
"tesseract","col + snp + wm",71.4799068322981,365471,8183,77688,0.574025974025974,0.22178088336784,0.290123213171268,0.237961664329126,0.0790822932311357
"tesseract","col + snp + scrib",74.4382298136646,367164,7962,75675,0.501082251082251,0.176941891441891,0.303897411512972,0.222378058282687,0.0738211634463671
"tesseract","col + snp + ink",61.7461801242236,213282,5145,35236,0.508441558441558,0.217088628762542,0.188637800033681,0.288920056100982,0.151081774844151
"tesseract","col + wm + scrib",31.5097204968944,69431,3618,23158,0.927056277056277,0.284624579124579,0.120413226742746,0.63378525790868,0.628496368412919
"tesseract","col + wm + ink",30.272049689441,65694,3622,22910,0.917748917748918,0.210548617244269,0.118717168415109,0.576125915536855,0.588694267515923
"tesseract","col + scrib + ink",33.9693788819876,64949,3576,21972,0.894805194805195,0.23617032967033,0.140547207940801,0.542153654355618,0.550823305889804
"tesseract","bin + blur + weak",65.3144720496894,63833,3673,20029,0.789177489177489,0.309804905239688,0.093689094277195,0.174068879538725,0.205067009362952
"tesseract","bin + blur + snp",71.409099378882,72539,3619,19711,0.715800865800866,0.162444151661543,0.10123454882265,0.162225338943431,0.17203767972236
"tesseract","bin + blur + wm",61.3273291925466,67637,3814,20629,0.821428571428571,0.322048556918122,0.104776456952658,0.208508648901356,0.237887812249978
"tesseract","bin + blur + scrib",64.5567701863354,66396,3769,20174,0.77987012987013,0.252031222400788,0.100428630865702,0.187314944678199,0.211117941512251
"tesseract","bin + blur + ink",67.3092236024845,60163,3599,19056,0.77987012987013,0.348488844488844,0.123735990173061,0.175003895901512,0.206909258406264
"tesseract","bin + weak + snp",14.762950310559,91349,4261,28727,0.94978354978355,0.753130258630259,0.156459716484888,0.570827489481066,0.504823594266814
"tesseract","bin + weak + wm",2.96847826086957,81091,3900,28710,0.963636363636364,0.759904370991328,0.134742231071751,0.753155680224404,0.716053040965998
"tesseract","bin + weak + scrib",8.95742236024845,80348,3973,27668,0.967965367965368,0.716655344655345,0.160983337791118,0.690353747857254,0.651662253604001
"tesseract","bin + weak + ink",16.4830745341615,73560,3765,25784,0.958658008658009,0.731861536209362,0.159526286070908,0.645784634564438,0.634658090205988
"tesseract","bin + snp + wm",11.0673602484472,92189,4189,29238,0.94978354978355,0.694659747659748,0.141435376979999,0.617266635499455,0.541897530610849
"tesseract","bin + snp + scrib",17.9193788819876,90256,4194,27825,0.945021645021645,0.729236394040742,0.114538361714563,0.567399096150849,0.498255217242559
"tesseract","bin + snp + ink",25.9359627329193,83357,4011,25864,0.935281385281385,0.717520588107545,0.131457428155369,0.514258999532492,0.472204335694355
"tesseract","bin + wm + scrib",10.3644099378882,81196,3991,27628,0.963419913419913,0.750871687893427,0.159572270597442,0.703288140875799,0.663676470588235
"tesseract","bin + wm + ink",21.6257763975155,69755,3684,24576,0.958874458874459,0.708301660497313,0.120610855201244,0.593579554308867,0.597630815093748
"tesseract","bin + scrib + ink",25.0147204968944,70671,3753,24119,0.954112554112554,0.7402331002331,0.131324922979385,0.559139784946237,0.555848179705655
"textract","col",1.98319875776398,77972,3800,28602,0.963419913419913,0.733101094557616,0.132629270805472,0.7579865980988,0.749922910884983
"textract","bin",1.71145962732919,77948,3805,28603,0.963419913419913,0.777774891774892,0.132629270805472,0.760635811126695,0.754696559721685
"textract","col + blur",13.3846894409938,75621,3987,27264,0.954329004329004,0.710014442079659,0.13830327795774,0.60183886551348,0.621199935660286
"textract","col + weak",6.24453416149068,77078,3867,27845,0.963419913419913,0.722000777000777,0.0823377217747927,0.606513947327412,0.608077493945785
"textract","col + snp",3.84885093167702,77098,3798,28286,0.963636363636364,0.674545382154078,0.127735990173061,0.741000467508181,0.739962651727358
"textract","col + wm",2.58232919254658,78253,3802,28533,0.958874458874459,0.778588904654122,0.12688618780152,0.748792270531401,0.742256893488839
"textract","col + scrib",3.68167701863354,77009,3812,28277,0.963203463203463,0.787844562844563,0.145955451870784,0.724481845098956,0.720551766893986
