"K","exclus","semcoh","heldout","residual","bound","lbound","em.its","engine","noise","mean_word_error","uniq","highest_heldout_k"
12,9.44104671625929,-73.7578186543088,-7.62945078742706,1.45464941255006,-241430.825609264,-241410.838394768,79,"tesseract","col",2.55310559006211,"tesseract col",6
13,9.4395806726157,-78.8174134521028,-7.73109214526609,1.44172216768833,-240101.553110639,-240079.000946786,66,"tesseract","col",2.55310559006211,"tesseract col",6
14,9.46717980316897,-74.445422650301,-7.70039366582665,1.46149745107594,-238837.66056442,-238812.469343237,54,"tesseract","col",2.55310559006211,"tesseract col",6
15,9.48404898399611,-76.9108415912779,-7.70087540473692,1.48042652770709,-238309.725910896,-238281.826639512,62,"tesseract","col",2.55310559006211,"tesseract col",6
16,9.52428808868502,-80.2056756646429,-7.74903272787003,1.50460293092526,-237512.694822764,-237482.022962657,53,"tesseract","col",2.55310559006211,"tesseract col",6
17,9.52913647828681,-79.7501450243576,-7.76591674933866,1.54308658508426,-235684.287497205,-235650.782423755,77,"tesseract","col",2.55310559006211,"tesseract col",6
18,9.55757871917657,-75.0604303599145,-7.74802479188086,1.58146863970966,-234713.37553585,-234676.980090642,60,"tesseract","col",2.55310559006211,"tesseract col",6
19,9.57252908794741,-77.2178145933269,-7.8340381324746,1.62518346804966,-233309.12235245,-233269.782468262,72,"tesseract","col",2.55310559006211,"tesseract col",6
20,9.57805364421985,-76.7205665366137,-7.86212496333248,1.67999506696595,-233415.688001415,-233373.352384954,70,"tesseract","col",2.55310559006211,"tesseract col",6
6,9.12091630454871,-67.5425621251451,-7.4771109126705,1.57406035948962,-248965.340750759,-248958.761499547,112,"tesseract","bin",2.27,"tesseract bin",6
7,9.27898718783474,-77.0423345585554,-7.60570010586827,1.52004067408641,-248649.659147418,-248641.133986057,178,"tesseract","bin",2.27,"tesseract bin",6
8,9.27341605723804,-72.8468997707325,-7.61520740595283,1.46925414133724,-245719.798830142,-245709.194227239,181,"tesseract","bin",2.27,"tesseract bin",6
